id,duplicate_of_id,parent_event_id,relevance,updated,title,labels,phq_labels,category,description,start,end,predicted_end,timezone,duration,country,lat,lon,geo,placekey,impact_patterns,predicted_event_spend_total,predicted_event_spend_accommodation,predicted_event_spend_hospitality,predicted_event_spend_transportation,venue_id,venue_name,venue_formatted_address,scope,rank,local_rank,aviation_rank,phq_attendance,state,cancelled,postponed,deleted_reason,first_seen,place_hierarchies,private,brand_safe
CRHKRbxy86HPn3t4C9,,,,2023-11-14T11:50:10Z,"The Pipes of Christmas - Summit, NJ - 7PM","concert,music","other,hip-hop-and-rnb-and-soul",concerts,"A soul-stirring celebration of Christmas - Celtic style! Pipes, drums, organ, brass, harp, fiddle, brass and more! A NYC holiday classic!",2023-12-18T00:00:00Z,2023-12-18T02:30:00Z,,America/New_York,9000,US,40.7147662,-74.3595466,"{""geometry"": {""coordinates"": [-74.3595466, 40.7147662], ""type"": ""Point""}}",222-223@627-wjk-tgk,,4240,0,2591,1648,SztbnsqP8wKnfgrRCSmkzw,Central Presbyterian Church,"70 Maple Street
Summit, NJ 07901
United States of America",locality,36,59,,210,active,,,,2023-11-14T11:22:52Z,"6295630>6255149>6252001>5101760>5105640>5105127,6295630>6255149>6252001>5101760>5101405>5101427",False,True
GgKw4ChwTeKqoa354A,,,,2023-11-14T13:56:53Z,Lady Day at Emerson's Bar and Grill; by Vanguard Theatre,"concert,music",,concerts,"Doors open at 6 PM for a soulful dinner and drinks, with the show kicking off at 7 PM. Use code HHVTC or AAVTC for an exclusive 20% discount",2023-12-03T23:00:00Z,2023-12-04T02:00:00Z,,America/New_York,10800,US,40.8086182,-74.21192529999999,"{""geometry"": {""coordinates"": [-74.21192529999999, 40.8086182], ""type"": ""Point""}}",1cvcbz62ss@627-ty3-rhq,,4625,0,2631,1994,,,,locality,37,56,,219,active,,,,2023-11-14T13:56:33Z,"6295630>6255149>6252001>5101760>5097707>5098430,6295630>6255149>6252001>5101760>5097707>5101798",False,True
8bY29UXhmGx5jDsfPG,,,,2023-11-25T02:16:17Z,Eliza Neals,"concert,music","pop,rock",concerts,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,2024-01-01T04:10:00Z,America/New_York,0,US,40.7943705,-74.4778862,"{""geometry"": {""coordinates"": [-74.4778862, 40.7943705], ""type"": ""Point""}}",12ulxricgz@627-v7f-wc5,,28199,5533,13852,8813,Qm9EEkvm3A4FbtZQ4mBd33,The Community Theatre at Mayo Center for the Performing Arts,"100 South Street
Morristown, NJ 07960
United States of America",locality,49,70,,898,active,,,,2023-11-15T00:45:21Z,6295630>6255149>6252001>5101760>5101405>5101427,False,True
6VPPrX2dPFzzrTVwwB,,,,2023-11-25T04:03:52Z,Mister Tickle Hands and The Bounce Collective,"concert,music",rock,concerts,,2024-01-01T01:00:00Z,2024-01-01T01:00:00Z,2024-01-01T05:10:00Z,America/New_York,0,US,40.26458,-74.04207,"{""geometry"": {""coordinates"": [-74.04207, 40.26458], ""type"": ""Point""}}",@628-r7m-zj9,,38567,7215,18513,12837,DBcENijvgKZmxKHEaR7VEB,The Stone Pony,"913 Ocean Avenue
Ocean
United States of America",locality,51,75,,1171,active,,,,2023-11-15T01:02:11Z,"6295630>6255149>6252001>5101760>5101305>5097278,6295630>6255149>6252001>5101760>5101305>5098278",False,True
92XPULWWKfGcCfbHFS,,,,2023-11-15T01:37:18Z,Breakfast With Santa At Seahorse Convention Hall,"community,family","food-and-beverage,family-fun",community,SECOND SEATING 10:15 AM - 11:30 AM $20.00 Table Reservation Fee (non-refundable) for a table of 4 which will include a picture with Santa with your camera or phone. A La Carte Breakfast Menu will be offered and the $20.00 Table Reservation fee will be credited towards your bill. . No animals allowed to event,2023-12-03T15:15:00Z,2023-12-03T15:15:00Z,,America/New_York,0,US,40.2237327,-73.99804849999998,"{""geometry"": {""coordinates"": [-73.99804849999998, 40.2237327], ""type"": ""Point""}}",222-222@628-r7c-6rk,,112550,12675,68300,31574,6YhK4KqepaYpL7hCpnvj5M,Convention Hall,"1300 Ocean Avenue
Asbury Park, NJ 07712
United States of America",locality,61,78,,3600,active,,,,2023-11-15T01:28:38Z,"6295630>6255149>6252001>5101760>5101305>5100588,6295630>6255149>6252001>5101760>5101305>5098278",False,True
Sszd86y8d2Y3St7yeX,,,,2023-11-16T00:20:48Z,GREA8 GAWD   one night in jersey,"concert,music",,concerts,,2023-12-01T01:00:00Z,2023-12-01T07:00:00Z,,America/New_York,21600,US,40.66268,-74.21474,"{""geometry"": {""coordinates"": [-74.21474, 40.66268], ""type"": ""Point""}}",224-222@627-vw4-ty9,,8832,0,5411,3421,,,,locality,37,48,,225,active,,,,2023-11-16T00:12:36Z,6295630>6255149>6252001>5101760>5105640>5097598,False,True
7Y2bVS7cZWiXR8gyoZ,,,,2023-11-16T00:18:14Z,InK STAINS,"community,entertainment",,community,,2023-12-31T00:00:00Z,2023-12-31T04:30:00Z,,America/New_York,16200,US,40.65042,-74.21463,"{""geometry"": {""coordinates"": [-74.21463, 40.65042], ""type"": ""Point""}}",1evloid442@627-vvs-y9z,,1282,0,901,380,,,,locality,30,42,,100,active,,,,2023-11-16T00:13:18Z,"6295630>6255149>6252001>5101760>5105640>5095470,6295630>6255149>6252001>5101760>5105640>5097598",False,True
J2RgACQhsWGGiFiV67,,,,2023-11-16T00:23:44Z,Pretty Nasty Christmas,"christmas-holiday,community,entertainment",,community,,2023-12-02T03:00:00Z,2023-12-02T08:00:00Z,,America/New_York,18000,US,40.67794,-74.19577,"{""geometry"": {""coordinates"": [-74.19577, 40.67794], ""type"": ""Point""}}",1wydtoobon@627-wkw-m8v,,1282,0,901,380,,,,locality,30,43,,100,active,,,,2023-11-16T00:14:35Z,"6295630>6255149>6252001>5101760>5105640>5097037,6295630>6255149>6252001>5101760>5105640>5097598",False,True
7PDXbwiLXEXhLaCV6Y,,,,2023-11-16T00:26:01Z,U GOTTA..Respect The Legends of Hip Hop Legacy Documentary Screening & Talk,"community,music",,community,,2023-12-02T19:00:00Z,2023-12-02T21:30:00Z,,America/New_York,9000,US,40.72195,-74.20129,"{""geometry"": {""coordinates"": [-74.20129, 40.72195], ""type"": ""Point""}}",1swtelbviz@627-wm2-t5f,,1303,0,917,386,,,,locality,30,43,,100,active,,,,2023-11-16T00:18:40Z,"6295630>6255149>6252001>5101760>5097707>7258771,6295630>6255149>6252001>5101760>5097707>5101798",False,True
G4bvV4CdKFWWxDMeWY,,,,2023-11-16T00:22:29Z,Complimentary Health Screenings by Nirvana Healthcare,"community,health",,community,,2023-12-02T14:00:00Z,2023-12-02T17:00:00Z,,America/New_York,10800,US,40.76831,-74.16852,"{""geometry"": {""coordinates"": [-74.16852, 40.76831], ""type"": ""Point""}}",1ulsj5nd5u@627-s96-j5f,,1071,0,711,359,,,,locality,28,39,,79,active,,,,2023-11-16T00:18:41Z,"6295630>6255149>6252001>5101760>5099357>5099967,6295630>6255149>6252001>5101760>5097707>5101798",False,True
